序号,姓名,势力,军团,所属,所在,身分,官职,忠诚,功绩,统御,武力,智力,政治,魅力,五围和,体力,头像,性别,登场年,出生年,死亡年,死因,血缘,父亲,母亲,配偶,义兄弟,世代,相性,亲近武将,亲近武将,亲近武将,亲近武将,亲近武将,厌恶武将,厌恶武将,厌恶武将,厌恶武将,厌恶武将,登场预定君主,枪兵适性,戟兵适性,弩兵适性,骑兵适性,兵器适性,水军适性,枪兵经验,戟兵经验,弩兵经验,骑兵经验,兵器经验,水军经验,统率经验,武力经验,智力经验,政治经验,魅力经验,统御变动,武力变动,智力变动,政治变动,魅力变动,出身地,特技,舌战得意话题,义理,野望,起用,性格,音声,口调,汉室,战略倾向,地元执着,すけるとん,头盔,面部,上身,披风,护腕,下身,箭袋,パーツ,武器·左,武器·右,马,头像变更年龄,lp124,任务,任务对象,lp140_1,lp140_2,lp140_3,lp140_4,lp140_5,留守Counter,伤病,旧势力,仕官禁止君主,仕官禁止期间,捕虏月数Counter,年初功绩
405,傅永,,,蓟,蓟,未发现,,0,0,76,82,68,56,52,334,100,1618,男,150,130,229,自然死,405,,,,,1,142,元英,,,,,,,,,,,Ａ,Ｂ,Ｂ,Ａ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,待伏,道理,情理坚定,较高,实绩,刚胆,刚胆,豪放,普通,地方统一,临机应变,0,110,44,103,76,103,103,255,255,255,255,255,255,200,,,,,,,,0,健康,,,0,0,0
406,尔朱荣,,,蓟,蓟,未发现,,0,0,92,85,62,55,59,353,100,1619,男,150,130,229,不自然死,406,,,,,1,0,高欢,慕容绍宗,,,,,,,,,,Ａ,Ａ,Ａ,Ｓ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,骑将,时节,无情义,高,实绩,猪突,莽撞,乱暴,无视,地方统一,重视,0,111,7,93,12,75,75,255,255,255,255,255,255,56,,,,,,,,0,健康,,,0,0,0
407,尔朱兆,,,蓟,蓟,未发现,,0,0,66,92,18,10,23,209,100,1620,男,165,145,244,不自然死,406,,,,,2,0,,,,,,,,,,,,Ｂ,Ｂ,Ｂ,Ａ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,掠夺,时节,无情义,较高,能力,猪突,莽撞,蛮族,无视,地方统一,重视,2,36,72,27,112,27,72,255,255,255,255,255,255,168,,,,,,,,0,健康,,,0,0,0
408,斛斯椿,,,蓟,蓟,未发现,,0,0,55,51,89,73,56,324,100,1621,男,150,130,229,自然死,408,,,,,1,147,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｂ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,言毒,故事,容易背叛,普通,实绩,冷静,冷静,普通,普通,地方统一,临机应变,0,71,75,106,255,106,106,255,255,255,255,255,255,112,,,,,,,,0,健康,,,0,0,0
409,贺拔允,,,蓟,蓟,未发现,,0,0,68,83,66,58,70,345,100,1622,男,150,130,229,不自然死,409,2011,,,,1,148,高欢,,,,,,,,,,,Ｂ,Ｂ,Ａ,Ａ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,白马,时节,情理坚定,普通,能力,冷静,冷静,普通,普通,州统一,重视,0,76,80,102,76,102,103,255,255,255,255,255,255,104,,,,,,,,0,健康,,,0,0,0
410,张紘,孙坚,孙坚,长沙,长沙,一般,,120,2000,24,11,78,85,77,275,100,101,男,150,130,229,自然死,410,,,,,1,121,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,时节,普通,较低,实绩,冷静,冷静,丁宁,普通,地方统一,重视,0,101,97,98,255,98,98,255,255,255,255,255,255,616,,,,,,,,0,健康,,,0,0,0
411,张郃,曹操,曹操,许昌,许昌,一般,,120,2000,84,84,70,52,68,358,100,1025,男,150,130,229,不自然死,411,,,,,1,27,,,,,,,,,,,,Ａ,Ｓ,Ｂ,Ａ,Ａ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,,故事,普通,普通,能力,刚胆,刚胆,普通,普通,中华统一,临机应变,0,64,63,64,255,64,64,255,255,255,255,255,54,680,,,,,,,,0,健康,,,0,0,0
412,贺拔胜,,,蓟,蓟,未发现,,0,0,73,88,60,54,68,343,100,1623,男,150,131,229,自然死,409,2011,,,,1,148,,,,,,,,,,,,Ｂ,Ｂ,Ａ,Ａ,Ｃ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,血路,道理,无情义,普通,能力,刚胆,刚胆,普通,普通,地方统一,重视,0,75,80,94,76,94,94,255,255,255,1,255,255,56,,,,,,,,0,健康,,,0,0,0
413,贺拔岳,,,蓟,蓟,未发现,,0,0,80,86,67,68,75,376,100,1624,男,150,132,229,不自然死,409,2011,,,,1,148,宇文泰,达奚武,李虎,,,,,,,,,Ｂ,Ｂ,Ａ,Ｓ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,,时节,情理坚定,普通,能力,猪突,莽撞,普通,普通,州统一,临机应变,0,18,18,94,94,94,94,255,255,255,255,255,255,168,,,,,,,,0,健康,,,0,0,0
414,高欢,高欢,高欢,南皮,南皮,君主,,120,2000,87,78,94,84,84,427,100,1625,男,150,130,229,自然死,414,,,,,1,0,尔朱荣,贺拔允,段韶,侯景,斛律金,,,,,,,Ｓ,Ａ,Ａ,Ｓ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,機智,时节,普通,高,实绩,刚胆,刚胆,豪放,无视,地方统一,临机应变,0,79,3,76,255,4,4,255,255,255,255,255,255,760,,,,,,,,0,健康,,,0,0,0
415,高澄,高欢,高欢,南皮,南皮,一般,,120,2000,62,61,80,83,81,367,100,1626,男,165,145,244,不自然死,414,高欢,,,,2,0,崔暹,,,,,,,,,,,Ｂ,Ｂ,Ｂ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,规律,道理,普通,较高,能力,猪突,莽撞,尊大,无视,中华统一,重视,0,43,74,124,255,124,124,255,255,255,255,255,255,632,,,,,,,,0,健康,,,0,0,0
416,高洋,高欢,高欢,南皮,南皮,一般,,120,2000,83,72,81,72,59,367,100,1627,男,165,146,244,不自然死,414,高欢,,,,2,0,,,,,,,,,,,,Ａ,Ａ,Ｂ,Ａ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,沉著,时节,普通,较高,能力,刚胆,刚胆,威严,无视,中华统一,漫不经心,0,83,3,89,255,89,89,255,255,255,255,255,255,696,,,,,,,,0,健康,,,0,0,0
417,高敖曹,高欢,高欢,南皮,南皮,一般,,120,2000,80,109,47,30,63,329,100,1628,男,150,130,229,不自然死,417,,,,,1,2,,,,,,,,,,,,Ｓ,Ｂ,Ａ,Ａ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,,时节,情理坚定,普通,能力,猪突,莽撞,豪放,普通,州统一,漫不经心,0,101,19,102,18,4,4,255,255,255,255,255,255,680,,,,,,,,0,健康,,,0,0,0
418,杨一清,,,金陵,金陵,未发现,,0,0,68,50,79,86,76,359,100,1741,男,150,130,229,自然死,418,,,,,1,91,,,,,,,,,,,,Ｂ,Ｃ,Ｃ,Ｂ,Ａ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,南中,繁殖,故事,情理坚定,普通,能力,冷静,冷静,普通,普通,现状维持,临机应变,0,98,93,80,255,80,80,255,255,255,255,255,255,112,,,,,,,,0,健康,,,0,0,0
419,张昭,孙坚,孙坚,长沙,长沙,一般,,120,2000,23,13,76,87,79,278,100,133,男,150,130,229,自然死,419,,,,,1,121,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,时节,普通,普通,名声,小心,小心,尊大,普通,地方统一,临机应变,0,107,44,107,255,107,107,255,255,255,255,255,255,696,,,,,,,,0,健康,,,0,0,0
420,侯景,高欢,高欢,南皮,南皮,一般,,120,2000,82,80,78,24,18,282,100,1630,男,150,130,229,不自然死,420,,,,,1,145,高欢,,,,,,,,,,,Ａ,Ｂ,Ｂ,Ａ,Ｂ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,掠夺,时节,容易背叛,高,能力,猪突,莽撞,蛮族,无视,中华统一,漫不经心,0,74,80,94,255,76,6,255,255,255,255,255,255,696,,,,,,,,0,健康,,,0,0,0
421,窦泰,高欢,高欢,南皮,南皮,一般,,120,2000,72,78,72,65,59,346,100,1629,男,150,130,229,不自然死,421,,,,,1,1,,,,,,,,,,,,Ｂ,Ｂ,Ａ,Ｂ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,,时节,情理坚定,普通,实绩,猪突,莽撞,普通,普通,地方统一,重视,0,76,75,74,255,102,101,255,255,255,255,255,255,560,,,,,,,,0,健康,,,0,0,0
422,彭乐,高欢,高欢,南皮,南皮,一般,,120,2000,67,93,15,18,27,220,100,1631,男,150,130,229,不自然死,422,,,,,1,5,,,,,,,,,,,,Ｂ,Ｃ,Ｂ,Ａ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,金刚,时节,容易背叛,普通,实绩,猪突,莽撞,乱暴,无视,州统一,漫不经心,0,121,27,92,255,93,92,255,255,255,255,255,255,640,,,,,,,,0,健康,,,0,0,0
423,慕容绍宗,高欢,高欢,南皮,南皮,一般,,120,2000,86,68,87,71,64,376,100,1632,男,240,220,319,不自然死,264,,,,,7,3,尔朱荣,,,,,,,,,,,Ｓ,Ａ,Ｓ,Ａ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,,道理,情理坚定,普通,能力,刚胆,刚胆,普通,普通,地方统一,临机应变,0,72,75,84,4,84,84,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
424,武曌,李渊,李渊,洛阳,洛阳,一般,,120,2000,44,28,88,94,67,321,100,1409,女,150,130,229,自然死,424,,,,,1,45,狄仁傑,,,,,长孙无忌,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,威压,时节,普通,高,能力,刚胆,刚胆莽撞,尊大,无视,中华统一,漫不经心,1,67,67,67,255,67,69,255,255,255,255,255,255,760,,,,,,,,0,健康,,,0,0,0
425,斛律金,高欢,高欢,南皮,南皮,一般,,120,2000,77,86,46,53,68,330,100,1633,男,150,130,229,自然死,425,,,,,1,149,高欢,,,,,,,,,,,Ｂ,Ｃ,Ａ,Ｓ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,射手,故事,不会背叛,较低,义理,冷静,冷静,丁宁,普通,地方统一,重视,0,34,71,60,12,12,60,20,255,255,255,255,255,584,,,,,,,,0,健康,,,0,0,0
426,斛律光,高欢,高欢,南皮,南皮,一般,,120,2000,91,91,69,61,56,368,100,1634,男,165,145,244,不自然死,425,斛律金,,,,2,149,,,,,,,,,,,,Ａ,Ｂ,Ｓ,Ｓ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,,道理,不会背叛,普通,能力,刚胆,刚胆,普通,普通,地方统一,临机应变,0,18,80,60,11,76,60,20,255,255,255,255,255,736,,,,,,,,0,健康,,,0,0,0
427,段韶,高欢,高欢,南皮,南皮,一般,,120,2000,93,85,80,67,78,403,100,1635,男,150,130,229,自然死,427,,,,,1,1,高欢,,,,,,,,,,,Ｓ,Ｓ,Ａ,Ｓ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,,故事,不会背叛,普通,义理,冷静,冷静,普通,普通,地方统一,重视,0,4,18,93,103,94,6,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
428,高长恭,高欢,高欢,南皮,南皮,一般,,120,2000,84,91,59,55,86,375,100,1636,男,180,160,259,不自然死,414,高澄,,,,3,0,,,,,,,,,,,,Ａ,Ａ,Ｂ,Ｓ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,昂扬,道理,不会背叛,较低,任意,刚胆,刚胆,谦逊,普通,州统一,重视,0,9,9,9,4,9,9,255,255,255,255,255,255,616,,,,,,,,0,健康,,,0,0,0
429,陈元康,,,南皮,南皮,未发现,,0,0,45,46,84,69,51,295,100,1637,男,150,130,229,自然死,429,,,,,1,4,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,秘计,道理,情理坚定,普通,能力,小心,小心,普通,普通,地方统一,临机应变,0,79,76,79,255,79,79,255,255,255,255,255,255,112,,,,,,,,0,健康,,,0,0,0
430,杜弼,,,南皮,南皮,未发现,,0,0,53,32,69,81,80,315,100,1420,男,150,130,229,不自然死,430,,,,,1,4,,,,,,,,,,,,Ｂ,Ｂ,Ｂ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,,故事,情理坚定,普通,义理,小心,小心,丁宁,普通,现状维持,重视,0,89,79,89,255,89,89,255,255,255,255,255,255,64,,,,,,,,0,健康,,,0,0,0
431,崔暹,,,南皮,南皮,未发现,,0,0,31,34,75,80,72,292,100,1639,男,150,130,229,自然死,431,,,,,1,4,高澄,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,眼力,时节,情理坚定,普通,名声,冷静,冷静,普通,普通,现状维持,重视,0,97,93,98,255,98,98,255,255,255,255,255,255,192,,,,,,,,0,健康,,,0,0,0
432,张飞,刘备,刘备,永安,永安,一般,,120,2000,80,102,61,38,55,336,100,1,男,150,130,229,不自然死,432,,,,,1,75,刘备,关羽,,,,吕布,,,,,,Ａ,Ａ,Ｃ,Ａ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,,故事,不会背叛,普通,义理,猪突,莽撞,张飞,重视,中华统一,漫不经心,2,10,10,10,255,10,10,255,255,255,1,255,42,648,,,,,,,,0,健康,,,0,0,0
433,杨愔,,,南皮,南皮,未发现,,0,0,42,71,74,88,78,353,100,1640,男,150,130,229,不自然死,433,,,,,1,4,,,,,,,,,,,,Ｃ,Ｂ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,能吏,故事,情理坚定,普通,名声,小心,小心,丁宁,普通,地方统一,重视,0,101,79,98,255,80,80,255,255,255,255,255,255,240,,,,,,,,0,健康,,,0,0,0
434,于谨,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,82,66,90,78,70,386,100,1645,男,225,205,304,自然死,384,,,,,6,9,,,,,,,,,,,,Ａ,Ｂ,Ａ,Ａ,Ｓ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,司隶,指导,故事,情理坚定,普通,能力,小心,小心,丁宁,普通,中华统一,临机应变,0,94,38,94,112,111,94,255,255,255,255,255,255,632,,,,,,,,0,健康,,,0,0,0
435,宇文邕,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,84,73,86,91,69,403,100,1642,男,165,145,244,自然死,404,宇文泰,,,,2,10,宇文泰,王轨,,,,,,,,,,Ａ,Ｂ,Ａ,Ａ,Ｓ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,待伏,道理,情理坚定,较高,任意,冷静,冷静,威严,普通,中华统一,临机应变,0,111,115,112,3,111,112,255,255,255,255,255,255,632,,,,,,,,0,健康,,,0,0,0
436,宇文宪,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,88,79,85,72,78,402,100,1643,男,165,146,244,不自然死,404,宇文泰,,,,2,10,,,,,,,,,,,,Ｓ,Ｓ,Ａ,Ａ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,繁殖,时节,不会背叛,普通,任意,刚胆,刚胆,普通,普通,中华统一,临机应变,0,8,39,93,3,93,71,255,255,255,255,255,255,744,,,,,,,,0,健康,,,0,0,0
437,独孤信,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,80,84,75,80,90,409,100,1644,男,150,130,229,不自然死,437,,,,,1,12,宇文泰,韦孝宽,,,,,,,,,,Ａ,Ｂ,Ａ,Ａ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,名声,时节,情理坚定,普通,名声,冷静,冷静,普通,重视,地方统一,临机应变,0,17,11,116,76,116,1,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
438,李弼,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,78,87,70,57,67,359,100,1646,男,150,130,229,自然死,438,,,,,1,8,,,,,,,,,,,,Ａ,Ｂ,Ｂ,Ａ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,,时节,情理坚定,较高,实绩,刚胆,刚胆,普通,普通,地方统一,临机应变,0,84,79,84,85,85,85,255,255,255,255,255,255,600,,,,,,,,0,健康,,,0,0,0
439,张辽,曹操,曹操,许昌,许昌,一般,,120,2000,87,92,67,55,77,378,100,14,男,150,130,229,自然死,439,,,,,1,23,关羽,,,,,,,,,,,Ｓ,Ａ,Ｂ,Ｓ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,威风,道理,情理坚定,普通,能力,刚胆,刚胆,普通,普通,地方统一,漫不经心,0,4,4,4,4,4,4,255,255,255,255,255,47,680,,,,,,,,0,健康,,,0,0,0
440,赵贵,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,70,71,61,63,72,337,100,1648,男,150,130,229,不自然死,440,,,,,1,8,,,,,,,,,,,,Ｂ,Ｃ,Ｂ,Ａ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,辅佐,道理,情理坚定,普通,义理,刚胆,刚胆,豪放,普通,地方统一,临机应变,0,75,27,74,255,94,92,255,255,255,255,255,255,736,,,,,,,,0,健康,,,0,0,0
441,李虎,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,77,86,57,64,81,365,100,1647,男,180,160,259,自然死,298,,,,,3,8,贺拔岳,,,,,,,,,,,Ｂ,Ｂ,Ａ,Ａ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,,道理,情理坚定,普通,义理,冷静,冷静,普通,重视,地方统一,重视,0,25,80,74,255,93,101,255,255,255,255,255,255,736,,,,,,,,0,健康,,,0,0,0
442,侯莫陈崇,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,75,88,46,47,57,313,100,1649,男,150,130,229,不自然死,442,,,,,1,8,,,,,,,,,,,,Ｂ,Ｃ,Ａ,Ａ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,白马,时节,情理坚定,普通,实绩,猪突,莽撞,普通,普通,州统一,临机应变,0,18,74,8,255,93,8,255,255,255,255,255,255,520,,,,,,,,0,健康,,,0,0,0
443,达奚武,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,73,85,48,35,53,294,100,1650,男,150,130,229,自然死,443,,,,,1,11,贺拔岳,,,,,,,,,,,Ｃ,Ｂ,Ａ,Ｓ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,扫荡,时节,情理坚定,普通,义理,小心,小心,豪放,普通,州统一,漫不经心,0,75,79,76,255,75,75,255,255,255,255,255,255,552,,,,,,,,0,健康,,,0,0,0
444,杨忠,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,79,93,55,51,55,333,100,1651,男,150,130,229,自然死,444,,,,,1,11,,,,,,,,,,,,Ｂ,Ｓ,Ｂ,Ａ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,金刚,道理,情理坚定,普通,实绩,猪突,莽撞,普通,普通,中华统一,漫不经心,0,24,20,76,76,103,103,255,255,255,2,255,255,664,,,,,,,,0,健康,,,0,0,0
445,蔡佑,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,66,89,58,50,76,339,100,1652,男,150,130,229,自然死,445,,,,,1,9,宇文泰,,,,,,,,,,,Ｂ,Ｂ,Ａ,Ｂ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,护卫,时节,情理坚定,较低,义理,刚胆,刚胆,普通,普通,现状维持,漫不经心,0,111,26,111,255,112,112,255,255,255,255,255,255,704,,,,,,,,0,健康,,,0,0,0
446,苏绰,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,40,48,84,97,86,355,100,1653,男,150,130,229,自然死,446,,,,,1,14,宇文泰,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,能吏,故事,不会背叛,普通,能力,小心,小心,丁宁,普通,现状维持,重视,0,43,80,115,255,115,115,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
447,韦孝宽,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,89,65,95,79,89,417,100,1654,男,150,130,229,自然死,447,,,,,1,14,独孤信,,,,,,,,,,,Ａ,Ａ,Ａ,Ｂ,Ｓ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,诡计,道理,不会背叛,普通,实绩,刚胆,刚胆,普通,普通,地方统一,临机应变,0,25,68,111,12,111,111,255,255,255,255,255,255,752,,,,,,,,0,健康,,,0,0,0
448,陆贾,刘邦,刘邦,成都,成都,一般,,120,2000,20,39,85,79,71,294,100,1870,男,150,130,229,自然死,448,,,,,1,76,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,荆北,亲越,道理,情理坚定,普通,实绩,冷静,冷静,普通,普通,现状维持,临机应变,0,21,97,98,255,107,98,255,255,255,255,255,255,608,,,,,,,,0,健康,,,0,0,0
449,王罴,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,76,82,56,73,65,352,100,1655,男,150,130,229,自然死,449,,,,,1,14,,,,,,,,,,,,Ｂ,Ａ,Ａ,Ｂ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,铁壁,道理,不会背叛,较低,实绩,刚胆,刚胆,豪放,普通,地方统一,重视,0,94,35,94,255,94,94,255,255,255,255,255,255,520,,,,,,,,0,健康,,,0,0,0
450,王思政,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,81,85,82,76,73,397,100,1656,男,150,130,229,自然死,450,,,,,1,13,,,,,,,,,,,,Ｂ,Ａ,Ａ,Ｃ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,,时节,情理坚定,普通,实绩,刚胆,刚胆,普通,普通,地方统一,临机应变,0,27,79,125,255,125,125,255,255,255,255,255,255,696,,,,,,,,0,健康,,,0,0,0
451,王轨,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,79,68,85,73,74,379,100,1657,男,150,130,229,不自然死,451,,,,,1,13,宇文邕,,,,,,,,,,,Ｂ,Ｂ,Ｃ,Ｂ,Ｓ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,秘计,故事,不会背叛,普通,能力,刚胆,刚胆,丁宁,普通,中华统一,临机应变,0,75,79,101,103,92,74,255,255,255,255,255,255,704,,,,,,,,0,健康,,,0,0,0
452,尉迟迥,宇文泰,宇文泰,汉中,汉中,一般,,120,2000,76,74,80,77,84,391,100,1658,男,150,130,229,不自然死,452,,,,,1,6,,,,,,,,,,,,Ａ,Ｂ,Ａ,Ｂ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,踏破,时节,不会背叛,普通,名声,刚胆,刚胆,普通,普通,中华统一,漫不经心,0,102,80,103,3,103,103,255,255,255,255,255,255,752,,,,,,,,0,健康,,,0,0,0
453,杨坚,杨坚,杨坚,汝南,汝南,君主,,120,2000,65,54,71,95,82,367,100,1659,男,165,145,244,不自然死,444,杨忠,,,,2,15,高熲,杨素,李渊,,,,,,,,,Ｂ,Ｂ,Ｃ,Ｃ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,徵收,故事,普通,高,名声,冷静,冷静,威严,普通,中华统一,重视,0,70,20,70,255,70,70,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
454,杨素,杨坚,杨坚,汝南,汝南,一般,,120,2000,98,74,84,76,31,363,100,1663,男,180,160,259,自然死,433,,,,,3,14,杨坚,,,,,史万岁,,,,,,Ｓ,Ｓ,Ａ,Ｓ,Ａ,Ｓ+10%,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,京兆,,道理,普通,较高,义理,刚胆,刚胆,尊大,无视,中华统一,临机应变,0,36,63,85,76,112,85,255,255,255,255,255,255,760,,,,,,,,0,健康,,,0,0,0
455,高熲,杨坚,杨坚,汝南,汝南,一般,,120,2000,84,53,101,105,88,431,100,1660,男,150,130,229,不自然死,455,,,,,1,14,杨坚,,,,,,,,,,,Ｂ,Ｓ,Ａ,Ｂ,Ａ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,,时节,情理坚定,较高,实绩,冷静,冷静,普通,普通,中华统一,临机应变,0,21,49,124,255,115,115,255,255,255,255,255,255,632,,,,,,,,0,健康,,,0,0,0
456,梁睿,杨坚,杨坚,汝南,汝南,一般,,120,2000,78,62,87,69,74,370,100,1662,男,150,130,229,自然死,456,,,,,1,11,,,,,,,,,,,,Ｂ,Ａ,Ｂ,Ｂ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,凉州,亲蛮,道理,普通,较低,名声,冷静,冷静,普通,普通,地方统一,漫不经心,0,103,74,107,103,107,107,255,255,255,255,255,255,608,,,,,,,,0,健康,,,0,0,0
